"race","year","stage","stage_id","stage_num","stage_type","date","departure","arrival","parcours_type","distance","vertical_meters","profile_score","startlist_quality","avg_speed_winner","won_how","win_type","km_solo"
"Tour de France",1905,"Stage 1 | Paris - Nancy","1",1,"Road race",1905-07-09,"Paris","Nancy","Flat",340,NA,NA,515,29.78,NA,NA,NA
"Tour de France",1905,"Stage 2 | Nancy - Besançon","2",2,"Road race",1905-07-11,"Nancy","Besançon","Mountains flat finish",299,NA,NA,515,29.36,NA,NA,NA
"Tour de France",1905,"Stage 3 | Besançon - Grenoble","3",3,"Road race",1905-07-14,"Besançon","Grenoble","Flat",327,NA,NA,515,29.11,NA,NA,NA
"Tour de France",1905,"Stage 4 | Grenoble - Toulon","4",4,"Road race",1905-07-16,"Grenoble","Toulon","Mountains flat finish",348,NA,NA,515,26.11,NA,NA,NA
"Tour de France",1905,"Stage 5 | Toulon - Nîmes","5",5,"Road race",1905-07-18,"Toulon","Nîmes","Flat",192,NA,NA,515,25.95,NA,NA,NA
"Tour de France",1905,"Stage 6 | Nîmes - Toulouse","6",6,"Road race",1905-07-20,"Nîmes","Toulouse","Flat",307,NA,NA,515,25.31,NA,NA,NA
"Tour de France",1905,"Stage 7 | Toulouse - Bordeaux","7",7,"Road race",1905-07-22,"Toulouse","Bordeaux","Flat",268,NA,NA,515,26.25,NA,NA,NA
"Tour de France",1905,"Stage 8 | Bordeaux - La Rochelle","8",8,"Road race",1905-07-24,"Bordeaux","La Rochelle","Flat",257,NA,NA,515,30.49,NA,NA,NA
"Tour de France",1905,"Stage 9 | La Rochelle - Rennes","9",9,"Road race",1905-07-26,"La Rochelle","Rennes","Flat",263,NA,NA,515,25.22,NA,NA,NA
"Tour de France",1905,"Stage 10 | Rennes - Caen","10",10,"Road race",1905-07-28,"Rennes","Caen","Flat",167,NA,NA,515,25.5,NA,NA,NA
"Tour de France",1905,"Stage 11 | Caen - Paris","11",11,"Road race",1905-07-29,"Caen","Paris","Flat",253,NA,NA,515,33.73,NA,NA,NA
"Tour de France",1906,"Stage 1 | Paris - Lille","1",1,"Road race",1906-07-04,"Paris","Lille","Flat",275,NA,NA,675,27.08,NA,NA,NA
"Tour de France",1906,"Stage 2 | Douai - Nancy","2",2,"Road race",1906-07-06,"Douai","Nancy","Flat",400,NA,NA,675,27.86,NA,NA,NA
"Tour de France",1906,"Stage 3 | Nancy - Dijon","3",3,"Road race",1906-07-08,"Nancy","Dijon","Mountains flat finish",416,NA,NA,675,27.17,NA,NA,NA
"Tour de France",1906,"Stage 4 | Dijon - Grenoble","4",4,"Road race",1906-07-10,"Dijon","Grenoble","Flat",311,NA,NA,675,29.5,NA,NA,NA
"Tour de France",1906,"Stage 5 | Grenoble - Nice","5",5,"Road race",1906-07-12,"Grenoble","Nice","Mountains flat finish",345,NA,NA,675,27.71,NA,NA,NA
"Tour de France",1906,"Stage 6 | Nice - Marseille","6",6,"Road race",1906-07-14,"Nice","Marseille","Flat",292,NA,NA,675,25.72,NA,NA,NA
"Tour de France",1906,"Stage 7 | Marseille - Toulouse","7",7,"Road race",1906-07-16,"Marseille","Toulouse","Flat",480,NA,NA,675,27.59,NA,NA,NA
"Tour de France",1906,"Stage 8 | Toulouse - Bayonne","8",8,"Road race",1906-07-18,"Toulouse","Bayonne","Flat",300,NA,NA,675,27.86,NA,NA,NA
"Tour de France",1906,"Stage 9 | Bayonne - Bordeaux","9",9,"Road race",1906-07-20,"Bayonne","Bordeaux","Flat",338,NA,NA,675,28.05,NA,NA,NA
"Tour de France",1906,"Stage 10 | Bordeaux - Nantes","10",10,"Road race",1906-07-22,"Bordeaux","Nantes","Flat",391,NA,NA,675,25.47,NA,NA,NA
"Tour de France",1906,"Stage 11 | Nantes - Brest","11",11,"Road race",1906-07-24,"Nantes","Brest","Flat",321,NA,NA,675,24.88,NA,NA,NA
"Tour de France",1906,"Stage 12 | Brest - Caen","12",12,"Road race",1906-07-26,"Brest","Caen","Flat",415,NA,NA,675,22.53,NA,NA,NA
"Tour de France",1906,"Stage 13 | Caen - Paris","13",13,"Road race",1906-07-29,"Caen","Paris","Flat",259,NA,NA,675,32.05,NA,NA,NA
"Tour de France",1907,"Stage 1 | Paris - Roubaix","1",1,"Road race",1907-07-08,"Paris","Roubaix","Flat",272,NA,NA,870,30.82,NA,NA,NA
"Tour de France",1907,"Stage 2 | Roubaix - Metz","2",2,"Road race",1907-07-10,"Roubaix","Metz","Flat",398,NA,NA,870,29.15,NA,NA,NA
"Tour de France",1907,"Stage 3 | Metz - Belfort","3",3,"Road race",1907-07-12,"Metz","Belfort","Mountains flat finish",259,NA,NA,870,33.33,NA,NA,NA
"Tour de France",1907,"Stage 4 | Belfort - Lyon","4",4,"Road race",1907-07-14,"Belfort","Lyon","Mountains flat finish",309,NA,NA,870,32.7,NA,NA,NA
"Tour de France",1907,"Stage 5 | Lyon - Grenoble","5",5,"Road race",1907-07-16,"Lyon","Grenoble","Mountains flat finish",311,NA,NA,870,27.56,NA,NA,NA
"Tour de France",1907,"Stage 6 | Grenoble - Nice","6",6,"Road race",1907-07-18,"Grenoble","Nice","Mountains flat finish",345,NA,NA,870,28.2,NA,NA,NA
"Tour de France",1907,"Stage 7 | Nice - Nîmes","7",7,"Road race",1907-07-20,"Nice","Nîmes","Flat",345,NA,NA,870,27.38,NA,NA,NA
"Tour de France",1907,"Stage 8 | Nîmes - Toulouse","8",8,"Road race",1907-07-22,"Nîmes","Toulouse","Flat",303,NA,NA,870,27.46,NA,NA,NA
"Tour de France",1907,"Stage 9 | Toulouse - Bayonne","9",9,"Road race",1907-07-24,"Toulouse","Bayonne","Flat",299,NA,NA,870,29.03,NA,NA,NA
"Tour de France",1907,"Stage 10 | Bayonne - Bordeaux","10",10,"Road race",1907-07-26,"Bayonne","Bordeaux","Flat",269,NA,NA,870,33.09,NA,NA,NA
"Tour de France",1907,"Stage 11 | Bordeaux - Nantes","11",11,"Road race",1907-07-28,"Bordeaux","Nantes","Flat",391,NA,NA,870,26.86,NA,NA,NA
"Tour de France",1907,"Stage 12 | Nantes - Brest","12",12,"Road race",1907-07-30,"Nantes","Brest","Flat",321,NA,NA,870,25.92,NA,NA,NA
"Tour de France",1907,"Stage 13 | Brest - Caen","13",13,"Road race",1907-08-01,"Brest","Caen","Flat",415,NA,NA,870,25.58,NA,NA,NA
"Tour de France",1907,"Stage 14 | Caen - Paris","14",14,"Road race",1907-08-04,"Caen","Paris","Flat",251,NA,NA,870,28.69,NA,NA,NA
"Tour de France",1908,"Stage 1 | Paris - Roubaix","1",1,"Road race",1908-07-13,"Paris","Roubaix","Flat",272,NA,NA,1195,32.19,NA,NA,NA
"Tour de France",1908,"Stage 2 | Roubaix - Metz","2",2,"Road race",1908-07-15,"Roubaix","Metz","Flat",398,NA,NA,1195,30.15,NA,NA,NA
"Tour de France",1908,"Stage 3 | Metz - Belfort","3",3,"Road race",1908-07-17,"Metz","Belfort","Mountains flat finish",259,NA,NA,1195,28.1,NA,NA,NA
"Tour de France",1908,"Stage 4 | Belfort - Lyon","4",4,"Road race",1908-07-19,"Belfort","Lyon","Mountains flat finish",309,NA,NA,1195,31.31,NA,NA,NA
"Tour de France",1908,"Stage 5 | Lyon - Grenoble","5",5,"Road race",1908-07-21,"Lyon","Grenoble","Mountains flat finish",311,NA,NA,1195,27.93,NA,NA,NA
"Tour de France",1908,"Stage 6 | Grenoble - Nice","6",6,"Road race",1908-07-23,"Grenoble","Nice","Mountains flat finish",345,NA,NA,1195,28.28,NA,NA,NA
"Tour de France",1908,"Stage 7 | Nice - Nîmes","7",7,"Road race",1908-07-25,"Nice","Nîmes","Flat",354,NA,NA,1195,29.3,NA,NA,NA
"Tour de France",1908,"Stage 8 | Nîmes - Toulouse","8",8,"Road race",1908-07-27,"Nîmes","Toulouse","Flat",303,NA,NA,1195,27.22,NA,NA,NA
"Tour de France",1908,"Stage 9 | Toulouse - Bayonne","9",9,"Road race",1908-07-29,"Toulouse","Bayonne","Flat",299,NA,NA,1195,29.56,NA,NA,NA
"Tour de France",1908,"Stage 10 | Bayonne - Bordeaux","10",10,"Road race",1908-07-31,"Bayonne","Bordeaux","Flat",269,NA,NA,1195,31.96,NA,NA,NA
"Tour de France",1908,"Stage 11 | Bordeaux - Nantes","11",11,"Road race",1908-08-02,"Bordeaux","Nantes","Flat",391,NA,NA,1195,27.76,NA,NA,NA
"Tour de France",1908,"Stage 12 | Nantes - Brest","12",12,"Road race",1908-08-04,"Nantes","Brest","Flat",321,NA,NA,1195,28.83,NA,NA,NA
"Tour de France",1908,"Stage 13 | Brest - Caen","13",13,"Road race",1908-08-06,"Brest","Caen","Flat",415,NA,NA,1195,25.33,NA,NA,NA
"Tour de France",1908,"Stage 14 | Caen - Paris","14",14,"Road race",1908-08-09,"Caen","Paris","Flat",251,NA,NA,1195,28.89,NA,NA,NA
"Tour de France",1909,"Stage 1 | Paris - Roubaix","1",1,"Road race",1909-07-05,"Paris","Roubaix","Flat",272,NA,NA,793,29.25,NA,NA,NA
"Tour de France",1909,"Stage 2 | Roubaix - Metz","2",2,"Road race",1909-07-07,"Roubaix","Metz","Flat",398,NA,NA,793,28.13,NA,NA,NA
"Tour de France",1909,"Stage 3 | Metz - Belfort","3",3,"Road race",1909-07-09,"Metz","Belfort","Mountains flat finish",259,NA,NA,793,27.36,NA,NA,NA
"Tour de France",1909,"Stage 4 | Belfort - Lyon","4",4,"Road race",1909-07-11,"Belfort","Lyon","Mountains flat finish",309,NA,NA,793,28.79,NA,NA,NA
"Tour de France",1909,"Stage 5 | Lyon - Grenoble","5",5,"Road race",1909-07-13,"Lyon","Grenoble","Mountains flat finish",311,NA,NA,793,27.77,NA,NA,NA
"Tour de France",1909,"Stage 6 | Grenoble - Nice","6",6,"Road race",1909-07-15,"Grenoble","Nice","Mountains flat finish",346,NA,NA,793,28.48,NA,NA,NA
"Tour de France",1909,"Stage 7 | Nice - Nîmes","7",7,"Road race",1909-07-17,"Nice","Nîmes","Flat",345,NA,NA,793,27.13,NA,NA,NA
"Tour de France",1909,"Stage 8 | Nîmes - Toulouse","8",8,"Road race",1909-07-19,"Nîmes","Toulouse","Flat",303,NA,NA,793,29.8,NA,NA,NA
"Tour de France",1909,"Stage 9 | Toulouse - Bayonne","9",9,"Road race",1909-07-21,"Toulouse","Bayonne","Flat",299,NA,NA,793,29.95,NA,NA,NA
"Tour de France",1909,"Stage 10 | Bayonne - Bordeaux","10",10,"Road race",1909-07-23,"Bayonne","Bordeaux","Flat",269,NA,NA,793,33.49,NA,NA,NA
"Tour de France",1909,"Stage 11 | Bordeaux - Nantes","11",11,"Road race",1909-07-25,"Bordeaux","Nantes","Flat",391,NA,NA,793,30.59,NA,NA,NA
"Tour de France",1909,"Stage 12 | Nantes - Brest","12",12,"Road race",1909-07-27,"Nantes","Brest","Flat",321,NA,NA,793,28.41,NA,NA,NA
"Tour de France",1909,"Stage 13 | Brest - Caen","13",13,"Road race",1909-07-29,"Brest","Caen","Flat",424,NA,NA,793,28.2,NA,NA,NA
"Tour de France",1909,"Stage 14 | Caen - Paris","14",14,"Road race",1909-08-01,"Caen","Paris","Flat",250,NA,NA,793,28.14,NA,NA,NA
"Tour de France",1910,"Stage 1 | Paris - Roubaix","1",1,"Road race",1910-07-03,"Paris","Roubaix","Flat",269,NA,NA,775,30.22,NA,NA,NA
"Tour de France",1910,"Stage 2 | Roubaix - Metz","2",2,"Road race",1910-07-05,"Roubaix","Metz","Flat",398,NA,NA,775,30.3,NA,NA,NA
"Tour de France",1910,"Stage 3 | Metz - Belfort","3",3,"Road race",1910-07-07,"Metz","Belfort","Mountains flat finish",259,NA,NA,775,28.41,NA,NA,NA
"Tour de France",1910,"Stage 4 | Belfort - Lyon","4",4,"Road race",1910-07-09,"Belfort","Lyon","Mountains flat finish",309,NA,NA,775,31.75,NA,NA,NA
"Tour de France",1910,"Stage 5 | Lyon - Grenoble","5",5,"Road race",1910-07-11,"Lyon","Grenoble","Mountains flat finish",311,NA,NA,775,29.02,NA,NA,NA
"Tour de France",1910,"Stage 6 | Grenoble - Nice","6",6,"Road race",1910-07-13,"Grenoble","Nice","Mountains flat finish",345,NA,NA,775,29.32,NA,NA,NA
"Tour de France",1910,"Stage 7 | Nice - Nîmes","7",7,"Road race",1910-07-15,"Nice","Nîmes","Flat",345,NA,NA,775,29.24,NA,NA,NA
"Tour de France",1910,"Stage 8 | Nîmes - Perpignan","8",8,"Road race",1910-07-17,"Nîmes","Perpignan","Flat",216,NA,NA,775,34.65,NA,NA,NA
"Tour de France",1910,"Stage 9 | Perpignan - Luchon","9",9,"Road race",1910-07-19,"Perpignan","Luchon","Mountains flat finish",289,NA,NA,775,26.55,NA,NA,NA
"Tour de France",1910,"Stage 10 | Luchon - Bayonne","10",10,"Road race",1910-07-21,"Luchon","Bayonne","Mountains flat finish",326,NA,NA,775,23.01,NA,NA,NA
"Tour de France",1910,"Stage 11 | Bayonne - Bordeaux","11",11,"Road race",1910-07-23,"Bayonne","Bordeaux","Flat",269,NA,NA,775,32.8,NA,NA,NA
"Tour de France",1910,"Stage 12 | Bordeaux - Nantes","12",12,"Road race",1910-07-25,"Bordeaux","Nantes","Flat",391,NA,NA,775,29.03,NA,NA,NA
"Tour de France",1910,"Stage 13 | Nantes - Brest","13",13,"Road race",1910-07-27,"Nantes","Brest","Flat",321,NA,NA,775,29.14,NA,NA,NA
"Tour de France",1910,"Stage 14 | Brest - Caen","14",14,"Road race",1910-07-29,"Brest","Caen","Flat",424,NA,NA,775,28.97,NA,NA,NA
"Tour de France",1910,"Stage 15 | Caen - Paris","15",15,"Road race",1910-07-31,"Caen","Paris","Flat",262,NA,NA,775,31.6,NA,NA,NA
"Tour de France",1911,"Stage 1 | Paris - Dunkerque","1",1,"Road race",1911-07-02,"Paris","Dunkerque","Flat",351,NA,NA,838,28.01,NA,NA,NA
"Tour de France",1911,"Stage 2 | Dunkerque - Longwy","2",2,"Road race",1911-07-04,"Dunkerque","Longwy","Flat",388,NA,NA,838,28.74,NA,NA,NA
"Tour de France",1911,"Stage 3 | Longwy - Belfort","3",3,"Road race",1911-07-06,"Longwy","Belfort","Mountains flat finish",331,NA,NA,838,30.55,NA,NA,NA
"Tour de France",1911,"Stage 4 | Belfort - Chamonix","4",4,"Road race",1911-07-08,"Belfort","Chamonix","Mountains flat finish",344,NA,NA,838,29.24,NA,NA,NA
"Tour de France",1911,"Stage 5 | Chamonix - Grenoble","5",5,"Road race",1911-07-10,"Chamonix","Grenoble","Mountains flat finish",366,NA,NA,838,26.94,NA,NA,NA
"Tour de France",1911,"Stage 6 | Grenoble - Nice","6",6,"Road race",1911-07-12,"Grenoble","Nice","Mountains flat finish",348,NA,NA,838,26.2,NA,NA,NA
"Tour de France",1911,"Stage 7 | Nice - Marseille","7",7,"Road race",1911-07-14,"Nice","Marseille","Mountains flat finish",334,NA,NA,838,27.3,NA,NA,NA
"Tour de France",1911,"Stage 8 | Marseille - Perpignan","8",8,"Road race",1911-07-16,"Marseille","Perpignan","Flat",335,NA,NA,838,30.27,NA,NA,NA
"Tour de France",1911,"Stage 9 | Perpignan - Luchon","9",9,"Road race",1911-07-18,"Perpignan","Luchon","Mountains flat finish",289,NA,NA,838,25.88,NA,NA,NA
"Tour de France",1911,"Stage 10 | Luchon - Bayonne","10",10,"Road race",1911-07-20,"Luchon","Bayonne","Mountains flat finish",326,NA,NA,838,24.27,NA,NA,NA
"Tour de France",1911,"Stage 11 | Bayonne - La Rochelle","11",11,"Road race",1911-07-22,"Bayonne","La Rochelle","Flat",379,NA,NA,838,29.23,NA,NA,NA
"Tour de France",1911,"Stage 12 | La Rochelle - Brest","12",12,"Road race",1911-07-23,"La Rochelle","Brest","Flat",470,NA,NA,838,26.6,NA,NA,NA
"Tour de France",1911,"Stage 13 | Brest - Cherbourg","13",13,"Road race",1911-07-26,"Brest","Cherbourg","Flat",405,NA,NA,838,29.49,NA,NA,NA
"Tour de France",1911,"Stage 14 | Cherbourg - Le Havre","14",14,"Road race",1911-07-28,"Cherbourg","Le Havre","Flat",361,NA,NA,838,30.04,NA,NA,NA
"Tour de France",1911,"Stage 15 | Le Havre - Paris","15",15,"Road race",1911-07-30,"Le Havre","Paris","Flat",317,NA,NA,838,29.31,NA,NA,NA
"Tour de France",1912,"Stage 1 | Paris - Dunkerque","1",1,"Road race",1912-06-30,"Paris","Dunkerque","Flat",351,NA,NA,1061,30.1,NA,NA,NA
"Tour de France",1912,"Stage 2 | Dunkerque - Longwy","2",2,"Road race",1912-07-02,"Dunkerque","Longwy","Flat",388,NA,NA,1061,29.8,NA,NA,NA
"Tour de France",1912,"Stage 3 | Longwy - Belfort","3",3,"Road race",1912-07-04,"Longwy","Belfort","Mountains flat finish",331,NA,NA,1061,29.87,NA,NA,NA
"Tour de France",1912,"Stage 4 | Belfort - Chamonix","4",4,"Road race",1912-07-06,"Belfort","Chamonix","Mountains flat finish",344,NA,NA,1061,28.5,NA,NA,NA
"Tour de France",1912,"Stage 5 | Chamonix - Grenoble","5",5,"Road race",1912-07-08,"Chamonix","Grenoble","Mountains flat finish",366,NA,NA,1061,26.77,NA,NA,NA
"Tour de France",1912,"Stage 6 | Grenoble - Nice","6",6,"Road race",1912-07-10,"Grenoble","Nice","Mountains flat finish",323,NA,NA,1061,26.69,NA,NA,NA
"Tour de France",1912,"Stage 7 | Nice - Marseille","7",7,"Road race",1912-07-12,"Nice","Marseille","Mountains flat finish",334,NA,NA,1061,27.6,NA,NA,NA
"Tour de France",1912,"Stage 8 | Marseille - Perpignan","8",8,"Road race",1912-07-14,"Marseille","Perpignan","Flat",335,NA,NA,1061,26.17,NA,NA,NA
"Tour de France",1912,"Stage 9 | Perpignan - Luchon","9",9,"Road race",1912-07-16,"Perpignan","Luchon","Mountains flat finish",289,NA,NA,1061,27.75,NA,NA,NA
"Tour de France",1912,"Stage 10 | Luchon - Bayonne","10",10,"Road race",1912-07-18,"Luchon","Bayonne","Mountains flat finish",326,NA,NA,1061,22.76,NA,NA,NA
"Tour de France",1912,"Stage 11 | Bayonne - La Rochelle","11",11,"Road race",1912-07-20,"Bayonne","La Rochelle","Flat",379,NA,NA,1061,28.75,NA,NA,NA
"Tour de France",1912,"Stage 12 | La Rochelle - Brest","12",12,"Road race",1912-07-22,"La Rochelle","Brest","Flat",470,NA,NA,1061,29.14,NA,NA,NA
"Tour de France",1912,"Stage 13 | Brest - Cherbourg","13",13,"Road race",1912-07-24,"Brest","Cherbourg","Flat",405,NA,NA,1061,27.45,NA,NA,NA
"Tour de France",1912,"Stage 14 | Cherbourg - Le Havre","14",14,"Road race",1912-07-26,"Cherbourg","Le Havre","Flat",361,NA,NA,1061,28.8,NA,NA,NA
"Tour de France",1912,"Stage 15 | Le Havre - Paris","15",15,"Road race",1912-07-28,"Le Havre","Paris","Flat",317,NA,NA,1061,29,NA,NA,NA
"Tour de France",1913,"Stage 1 | Paris - Le Havre","1",1,"Road race",1913-06-29,"Paris","Le Havre","Flat",388,NA,NA,1099,27.4,NA,NA,NA
"Tour de France",1913,"Stage 2 | Le Havre - Cherbourg","2",2,"Road race",1913-07-01,"Le Havre","Cherbourg","Flat",364,NA,NA,1099,29.51,NA,NA,NA
"Tour de France",1913,"Stage 3 | Cherbourg - Brest","3",3,"Road race",1913-07-03,"Cherbourg","Brest","Flat",405,NA,NA,1099,28.97,NA,NA,NA
"Tour de France",1913,"Stage 4 | Brest - La Rochelle","4",4,"Road race",1913-07-05,"Brest","La Rochelle","Flat",470,NA,NA,1099,29.06,NA,NA,NA
"Tour de France",1913,"Stage 5 | La Rochelle - Bayonne","5",5,"Road race",1913-07-07,"La Rochelle","Bayonne","Flat",379,NA,NA,1099,29.9,NA,NA,NA
"Tour de France",1913,"Stage 6 | Bayonne - Luchon","6",6,"Road race",1913-07-09,"Bayonne","Luchon","Mountains flat finish",326,NA,NA,1099,23.44,NA,NA,NA
"Tour de France",1913,"Stage 7 | Luchon - Perpignan","7",7,"Road race",1913-07-11,"Luchon","Perpignan","Mountains flat finish",324,NA,NA,1099,27.16,NA,NA,NA
"Tour de France",1913,"Stage 8 | Perpignan - Aix-en-Provence","8",8,"Road race",1913-07-13,"Perpignan","Aix-en-Provence","Flat",325,NA,NA,1099,30.36,NA,NA,NA
"Tour de France",1913,"Stage 9 | Aix-en-Provence - Nice","9",9,"Road race",1913-07-15,"Aix-en-Provence","Nice","Mountains flat finish",356,NA,NA,1099,26.23,NA,NA,NA
"Tour de France",1913,"Stage 10 | Nice - Grenoble","10",10,"Road race",1913-07-17,"Nice","Grenoble","Mountains flat finish",333,NA,NA,1099,25.34,NA,NA,NA
"Tour de France",1913,"Stage 11 | Grenoble - Geneva","11",11,"Road race",1913-07-19,"Grenoble","Geneva","Mountains flat finish",325,NA,NA,1099,27.02,NA,NA,NA
"Tour de France",1913,"Stage 12 | Geneva - Belfort","12",12,"Road race",1913-07-21,"Geneva","Belfort","Mountains flat finish",335,NA,NA,1099,26.76,NA,NA,NA
"Tour de France",1913,"Stage 13 | Belfort - Longwy","13",13,"Road race",1913-07-23,"Belfort","Longwy","Mountains flat finish",325,NA,NA,1099,28.29,NA,NA,NA
"Tour de France",1913,"Stage 14 | Longwy - Dunkerque","14",14,"Road race",1913-07-25,"Longwy","Dunkerque","Flat",393,NA,NA,1099,27.36,NA,NA,NA
"Tour de France",1913,"Stage 15 | Dunkerque - Paris","15",15,"Road race",1913-07-27,"Dunkerque","Paris","Flat",340,NA,NA,1099,28.27,NA,NA,NA
"Tour de France",1914,"Stage 1 | Paris - Le Havre","1",1,"Road race",1914-06-28,"Paris","Le Havre","Flat",388,NA,NA,1145,29.16,NA,NA,NA
"Tour de France",1914,"Stage 2 | Le Havre - Cherbourg","2",2,"Road race",1914-06-30,"Le Havre","Cherbourg","Flat",364,NA,NA,1145,29.7,NA,NA,NA
"Tour de France",1914,"Stage 3 | Cherbourg - Brest","3",3,"Road race",1914-07-02,"Cherbourg","Brest","Flat",405,NA,NA,1145,27.06,NA,NA,NA
"Tour de France",1914,"Stage 4 | Brest - La Rochelle","4",4,"Road race",1914-07-04,"Brest","La Rochelle","Flat",470,NA,NA,1145,28.96,NA,NA,NA
"Tour de France",1914,"Stage 5 | La Rochelle - Bayonne","5",5,"Road race",1914-07-05,"La Rochelle","Bayonne","Flat",376,NA,NA,1145,28.01,NA,NA,NA
"Tour de France",1914,"Stage 6 | Bayonne - Luchon","6",6,"Road race",1914-07-06,"Bayonne","Luchon","Mountains flat finish",326,NA,NA,1145,22.25,NA,NA,NA
"Tour de France",1914,"Stage 7 | Luchon - Perpignan","7",7,"Road race",1914-07-08,"Luchon","Perpignan","Mountains flat finish",323,NA,NA,1145,27.41,NA,NA,NA
"Tour de France",1914,"Stage 8 | Perpignan - Marseille","8",8,"Road race",1914-07-10,"Perpignan","Marseille","Flat",370,NA,NA,1145,28.46,NA,NA,NA
"Tour de France",1914,"Stage 9 | Marseille - Nice","9",9,"Road race",1914-07-12,"Marseille","Nice","Mountains flat finish",338,NA,NA,1145,26.84,NA,NA,NA
"Tour de France",1914,"Stage 10 | Nice - Grenoble","10",10,"Road race",1914-07-14,"Nice","Grenoble","Mountains flat finish",323,NA,NA,1145,24.16,NA,NA,NA
"Tour de France",1914,"Stage 11 | Grenoble - Geneva","11",11,"Road race",1914-07-16,"Grenoble","Geneva","Mountains flat finish",325,NA,NA,1145,26.03,NA,NA,NA
"Tour de France",1914,"Stage 12 | Geneva - Belfort","12",12,"Road race",1914-07-18,"Geneva","Belfort","Mountains flat finish",325,NA,NA,1145,25.93,NA,NA,NA
"Tour de France",1914,"Stage 13 | Belfort - Longwy","13",13,"Road race",1914-07-20,"Belfort","Longwy","Mountains flat finish",325,NA,NA,1145,30.92,NA,NA,NA
"Tour de France",1914,"Stage 14 | Longwy - Dunkerque","14",14,"Road race",1914-07-22,"Longwy","Dunkerque","Flat",390,NA,NA,1145,25.91,NA,NA,NA
"Tour de France",1914,"Stage 15 | Dunkerque - Paris","15",15,"Road race",1914-07-24,"Dunkerque","Paris","Flat",340,NA,NA,1145,25.46,NA,NA,NA
"Tour de France",1919,"Stage 1 | Paris - Le Havre","1",1,"Road race",1919-06-29,"Paris","Le Havre","Flat",388,NA,NA,250,24.35,NA,NA,NA
"Tour de France",1919,"Stage 2 | Le Havre - Cherbourg","2",2,"Road race",1919-07-01,"Le Havre","Cherbourg","Flat",364,NA,NA,250,22.96,NA,NA,NA
"Tour de France",1919,"Stage 3 | Cherbourg - Brest","3",3,"Road race",1919-07-03,"Cherbourg","Brest","Flat",405,NA,NA,250,26.13,NA,NA,NA
"Tour de France",1919,"Stage 4 | Brest - Les Sables d'Olonne","4",4,"Road race",1919-07-05,"Brest","Les Sables d'Olonne","Flat",412,NA,NA,250,25.97,NA,NA,NA
"Tour de France",1919,"Stage 5 | Les Sables-d'Olonne - Bayonne","5",5,"Road race",1919-07-07,"Les Sables-d'Olonne","Bayonne","Flat",482,NA,NA,250,25.5,NA,NA,NA
"Tour de France",1919,"Stage 6 | Bayonne - Luchon","6",6,"Road race",1919-07-09,"Bayonne","Luchon","Mountains flat finish",326,NA,NA,250,20.77,NA,NA,NA
"Tour de France",1919,"Stage 7 | Luchon - Perpignan","7",7,"Road race",1919-07-11,"Luchon","Perpignan","Mountains flat finish",323,NA,NA,250,24.45,NA,NA,NA
"Tour de France",1919,"Stage 8 | Perpignan - Marseille","8",8,"Road race",1919-07-13,"Perpignan","Marseille","Flat",370,NA,NA,250,26.73,NA,NA,NA
